Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device,Plan Duration
Basic,10,2022-01-15,United States,28,Male,Smartphone,1 Month
Premium,15,2021-09-05,Canada,35,Female,Tablet,1 Month
Standard,12,2023-02-28,United Kingdom,42,Male,Smart TV,1 Month
Standard,12,2022-07-10,Australia,51,Female,Laptop,1 Month
Basic,10,2023-05-01,Germany,33,Male,Smartphone,1 Month
Premium,15,2022-03-18,France,29,Female,Smart TV,1 Month
Standard,12,2021-12-09,Brazil,46,Male,Tablet,1 Month
Basic,10,2023-04-02,Mexico,39,Female,Laptop,1 Month
Standard,12,2022-10-20,Spain,37,Male,Smartphone,1 Month
Premium,15,2023-01-07,Italy,44,Female,Smart TV,1 Month
Basic,10,2022-05-16,United States,31,Female,Smartphone,1 Month
Premium,15,2023-03-23,Canada,45,Male,Tablet,1 Month
Standard,12,2021-11-30,United Kingdom,48,Female,Laptop,1 Month
Basic,10,2022-08-01,Australia,27,Male,Smartphone,1 Month
Standard,12,2023-05-09,Germany,38,Female,Smart TV,1 Month
Premium,15,2022-04-07,France,36,Male,Tablet,1 Month
Basic,10,2022-01-24,Brazil,30,Female,Laptop,1 Month
Standard,12,2021-10-18,Mexico,43,Male,Smartphone,1 Month
Premium,15,2023-02-15,Spain,32,Female,Smart TV,1 Month
Basic,10,2023-05-27,Italy,41,Male,Tablet,1 Month
Premium,15,2023-06-10,United States,26,Female,Laptop,1 Month
Basic,10,2022-07-22,Canada,34,Male,Smartphone,1 Month
Standard,12,2021-12-05,United Kingdom,49,Female,Smart TV,1 Month
Standard,12,2022-04-03,Australia,31,Male,Tablet,1 Month
Basic,10,2023-03-14,Germany,40,Female,Laptop,1 Month
Premium,15,2022-01-12,France,29,Male,Smartphone,1 Month
Basic,10,2022-08-29,Brazil,47,Female,Smart TV,1 Month
Standard,12,2021-09-27,Mexico,33,Male,Tablet,1 Month
Premium,15,2022-12-19,Spain,36,Female,Laptop,1 Month
Basic,10,2023-05-17,Italy,42,Male,Smartphone,1 Month
Premium,15,2023-02-03,United States,28,Female,Smart TV,1 Month
Basic,10,2022-07-07,Canada,37,Male,Tablet,1 Month
Standard,12,2022-01-21,United Kingdom,41,Female,Laptop,1 Month
Standard,12,2022-05-25,Australia,29,Male,Smartphone,1 Month
Basic,10,2023-04-11,Germany,39,Female,Smart TV,1 Month
Premium,15,2022-03-01,France,35,Male,Tablet,1 Month
Basic,10,2022-09-14,Brazil,45,Female,Laptop,1 Month
Standard,12,2021-11-05,Mexico,32,Male,Smartphone,1 Month
Premium,15,2022-12-28,Spain,27,Female,Smart TV,1 Month
Basic,10,2023-03-07,Italy,48,Male,Tablet,1 Month
Premium,15,2023-01-20,United States,31,Female,Laptop,1 Month
Basic,10,2022-06-15,Canada,40,Male,Smartphone,1 Month
Standard,12,2022-02-07,United Kingdom,36,Female,Smart TV,1 Month
Standard,12,2022-04-26,Australia,29,Male,Tablet,1 Month
Basic,10,2023-01-28,Germany,43,Female,Laptop,1 Month
Premium,15,2022-02-23,France,34,Male,Smartphone,1 Month
Basic,10,2022-10-05,Brazil,39,Female,Smart TV,1 Month
Standard,12,2021-09-15,Mexico,32,Male,Tablet,1 Month
Premium,15,2022-11-10,Spain,28,Female,Laptop,1 Month
Basic,10,2023-06-02,Italy,45,Male,Smartphone,1 Month
Premium,15,2023-02-27,United States,30,Female,Smart TV,1 Month
Basic,10,2022-08-29,Canada,37,Male,Tablet,1 Month
Standard,12,2022-01-13,United Kingdom,41,Female,Laptop,1 Month
Standard,12,2022-06-30,Australia,29,Male,Smartphone,1 Month
Basic,10,2023-04-20,Germany,39,Female,Smart TV,1 Month
Premium,15,2022-03-15,France,36,Male,Tablet,1 Month
Basic,10,2022-10-01,Brazil,46,Female,Laptop,1 Month
Standard,12,2021-10-08,Mexico,34,Male,Smartphone,1 Month
Premium,15,2022-12-03,Spain,27,Female,Smart TV,1 Month
Basic,10,2023-06-14,Italy,42,Male,Tablet,1 Month
Premium,15,2023-02-08,United States,28,Female,Laptop,1 Month
Basic,10,2022-08-03,Canada,37,Male,Smartphone,1 Month
Standard,12,2022-02-23,United Kingdom,41,Female,Smart TV,1 Month
Standard,12,2022-06-20,Australia,29,Male,Tablet,1 Month
Basic,10,2023-03-29,Germany,40,Female,Laptop,1 Month
Premium,15,2022-01-30,France,29,Male,Smartphone,1 Month
Basic,10,2022-09-18,Brazil,47,Female,Smart TV,1 Month
Standard,12,2021-11-09,Mexico,33,Male,Tablet,1 Month
Premium,15,2022-12-23,Spain,36,Female,Laptop,1 Month
Basic,10,2023-05-08,Italy,41,Male,Smartphone,1 Month
Basic,10,2022-01-26,United States,27,Male,Smartphone,1 Month
Basic,10,2022-10-11,Canada,31,Female,Smartphone,1 Month
Standard,12,2022-09-27,United Kingdom,28,Female,Laptop,1 Month
Premium,13,2022-12-14,Australia,41,Female,Smartphone,1 Month
Basic,13,2022-05-28,Germany,28,Female,Laptop,1 Month
Basic,13,2021-12-29,France,51,Female,Laptop,1 Month
Premium,15,2022-12-25,Brazil,45,Female,Smartphone,1 Month
Standard,15,2022-11-18,Mexico,49,Male,Tablet,1 Month
Standard,15,2022-12-03,Spain,43,Female,Laptop,1 Month
Basic,12,2022-11-08,Italy,43,Male,Tablet,1 Month
Premium,10,2023-01-11,United States,37,Male,Tablet,1 Month
Standard,12,2022-12-07,Canada,35,Male,Laptop,1 Month
Basic,10,2022-10-20,United Kingdom,46,Female,Smartphone,1 Month
Standard,12,2023-04-13,Australia,32,Male,Smartphone,1 Month
Premium,10,2023-04-06,Germany,37,Female,Laptop,1 Month
Basic,11,2022-03-04,France,29,Female,Smartphone,1 Month
Premium,15,2021-12-28,Brazil,45,Male,Smart TV,1 Month
Standard,12,2022-09-27,Mexico,47,Male,Tablet,1 Month
Basic,15,2022-10-20,Spain,39,Male,Smartphone,1 Month
Standard,13,2023-02-03,Italy,49,Female,Smartphone,1 Month
Premium,11,2022-10-03,United States,39,Male,Tablet,1 Month
Basic,14,2022-01-05,Canada,39,Male,Smart TV,1 Month
Standard,12,2022-02-05,United Kingdom,35,Male,Smartphone,1 Month
Premium,12,2022-03-19,Australia,44,Male,Smartphone,1 Month
Basic,11,2022-02-28,Germany,34,Male,Laptop,1 Month
Premium,14,2022-07-26,France,32,Male,Laptop,1 Month
Basic,10,2022-03-05,Brazil,29,Female,Tablet,1 Month
Standard,13,2022-03-07,Mexico,31,Female,Tablet,1 Month
Standard,12,2023-01-13,Spain,29,Female,Tablet,1 Month
Basic,12,2023-01-22,Italy,35,Male,Laptop,1 Month
Premium,11,2022-10-17,United States,46,Female,Tablet,1 Month
Basic,12,2022-03-29,Canada,31,Male,Tablet,1 Month
Standard,13,2022-04-04,United Kingdom,36,Male,Laptop,1 Month
Premium,10,2022-06-08,Australia,38,Male,Laptop,1 Month
Basic,11,2022-03-04,Germany,46,Female,Laptop,1 Month
Premium,10,2022-03-18,France,49,Female,Tablet,1 Month
Basic,14,2022-03-07,Brazil,29,Female,Smart TV,1 Month
Standard,12,2022-05-24,Mexico,27,Female,Smart TV,1 Month
Standard,13,2023-02-08,Spain,35,Female,Tablet,1 Month
Basic,13,2023-01-26,Italy,37,Female,Laptop,1 Month
Premium,14,2022-07-14,United States,40,Male,Tablet,1 Month
Basic,10,2022-06-01,Canada,33,Female,Laptop,1 Month
Standard,15,2022-05-07,United Kingdom,37,Male,Tablet,1 Month
Premium,10,2022-11-18,Australia,48,Male,Smartphone,1 Month
Basic,11,2022-04-05,Germany,50,Female,Laptop,1 Month
Premium,14,2022-05-19,France,45,Female,Smart TV,1 Month
Basic,15,2021-10-30,Brazil,40,Female,Tablet,1 Month
Standard,12,2022-08-07,Mexico,33,Male,Smartphone,1 Month
Standard,11,2022-09-20,Spain,44,Female,Smartphone,1 Month
Basic,10,2022-10-18,Italy,30,Female,Smart TV,1 Month
Premium,15,2022-10-03,United States,27,Male,Smart TV,1 Month
Basic,11,2022-05-03,Canada,51,Male,Smart TV,1 Month
Standard,13,2022-05-25,United Kingdom,49,Female,Smartphone,1 Month
Premium,15,2022-11-05,Australia,43,Male,Laptop,1 Month
Basic,12,2022-08-21,Germany,42,Male,Smartphone,1 Month
Premium,13,2022-09-21,France,45,Male,Laptop,1 Month
Basic,10,2021-11-23,Brazil,36,Male,Smartphone,1 Month
Standard,12,2022-10-06,Mexico,48,Male,Smartphone,1 Month
Standard,13,2022-11-05,Spain,38,Male,Smart TV,1 Month
Basic,14,2023-01-07,Italy,43,Female,Tablet,1 Month
Premium,15,2022-10-06,United States,47,Male,Laptop,1 Month
Basic,15,2022-06-24,Canada,48,Female,Smart TV,1 Month
Standard,13,2022-06-24,United Kingdom,47,Male,Smart TV,1 Month
Premium,15,2022-11-05,Australia,32,Male,Tablet,1 Month
Basic,13,2022-07-18,Germany,47,Female,Smart TV,1 Month
Premium,12,2022-09-13,France,41,Female,Smart TV,1 Month
Basic,12,2022-08-10,Brazil,49,Male,Laptop,1 Month
Standard,15,2022-09-21,Mexico,28,Male,Laptop,1 Month
Standard,13,2023-03-24,Spain,40,Male,Smartphone,1 Month
Basic,12,2022-05-02,Italy,43,Female,Smartphone,1 Month
Premium,12,2022-05-11,United States,42,Male,Smartphone,1 Month
Basic,14,2022-06-10,Canada,28,Male,Smart TV,1 Month
Standard,14,2022-08-31,United Kingdom,30,Female,Tablet,1 Month
Premium,10,2022-08-17,Australia,33,Male,Smart TV,1 Month
